preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
Asparaginase Escherichia coli,DRUG,DDInter,Asparaginase Escherichia coli,,,,DDInter127
Naxitamab,DRUG,DDInter,Naxitamab,,,,DDInter1270
Nebivolol,DRUG,DDInter,Nebivolol,,,,DDInter1271
Necitumumab,DRUG,DDInter,Necitumumab,,,,DDInter1272
Nedocromil,DRUG,DDInter,Nedocromil,,,,DDInter1273
Nefazodone,DRUG,DDInter,Nefazodone,,,,DDInter1274
Nelarabine,DRUG,DDInter,Nelarabine,,,,DDInter1275
Nelfinavir,DRUG,DDInter,Nelfinavir,,,,DDInter1276
Neomycin,DRUG,DDInter,Neomycin,,,,DDInter1277
Neomycin (topical),DRUG,DDInter,Neomycin (topical),,,,DDInter1278
Neostigmine,DRUG,DDInter,Neostigmine,,,,DDInter1279
Astemizole,DRUG,DDInter,Astemizole,,,,DDInter128
Nepafenac (ophthalmic),DRUG,DDInter,Nepafenac (ophthalmic),,,,DDInter1280
Neratinib,DRUG,DDInter,Neratinib,,,,DDInter1281
Nesiritide,DRUG,DDInter,Nesiritide,,,,DDInter1282
Netilmicin,DRUG,DDInter,Netilmicin,,,,DDInter1283
Netupitant,DRUG,DDInter,Netupitant,,,,DDInter1284
Nevirapine,DRUG,DDInter,Nevirapine,,,,DDInter1285
Niacin,DRUG,DDInter,Niacin,,,,DDInter1286
Nicardipine,DRUG,DDInter,Nicardipine,,,,DDInter1287
Niclosamide,DRUG,DDInter,Niclosamide,,,,DDInter1288
Nicotinamide,DRUG,DDInter,Nicotinamide,,,,DDInter1289
Atazanavir,DRUG,DDInter,Atazanavir,,,,DDInter129
Nicotine,DRUG,DDInter,Nicotine,,,,DDInter1290
Nifedipine,DRUG,DDInter,Nifedipine,,,,DDInter1291
Nifurtimox,DRUG,DDInter,Nifurtimox,,,,DDInter1292
Nilotinib,DRUG,DDInter,Nilotinib,,,,DDInter1293
Nilutamide,DRUG,DDInter,Nilutamide,,,,DDInter1294
Nimodipine,DRUG,DDInter,Nimodipine,,,,DDInter1295
Nintedanib,DRUG,DDInter,Nintedanib,,,,DDInter1296
Niraparib,DRUG,DDInter,Niraparib,,,,DDInter1297
Nisoldipine,DRUG,DDInter,Nisoldipine,,,,DDInter1298
Nitazoxanide,DRUG,DDInter,Nitazoxanide,,,,DDInter1299
Acenocoumarol,DRUG,DDInter,Acenocoumarol,,,,DDInter13
Atenolol,DRUG,DDInter,Atenolol,,,,DDInter130
Nitisinone,DRUG,DDInter,Nitisinone,,,,DDInter1300
Nitrazepam,DRUG,DDInter,Nitrazepam,,,,DDInter1301
Nitric Oxide,DRUG,DDInter,Nitric Oxide,,,,DDInter1302
Nitrofurantoin,DRUG,DDInter,Nitrofurantoin,,,,DDInter1303
Nitroglycerin,DRUG,DDInter,Nitroglycerin,,,,DDInter1304
Nitroprusside,DRUG,DDInter,Nitroprusside,,,,DDInter1305
Nitrous acid,DRUG,DDInter,Nitrous acid,,,,DDInter1306
Nitrous oxide,DRUG,DDInter,Nitrous oxide,,,,DDInter1307
Nivolumab,DRUG,DDInter,Nivolumab,,,,DDInter1308
Nizatidine,DRUG,DDInter,Nizatidine,,,,DDInter1309
Atezolizumab,DRUG,DDInter,Atezolizumab,,,,DDInter131
Norelgestromin,DRUG,DDInter,Norelgestromin,,,,DDInter1310
Norepinephrine,DRUG,DDInter,Norepinephrine,,,,DDInter1311
Norethisterone,DRUG,DDInter,Norethisterone,,,,DDInter1312
Norfloxacin,DRUG,DDInter,Norfloxacin,,,,DDInter1313
Norgestimate,DRUG,DDInter,Norgestimate,,,,DDInter1314
Norgestrel,DRUG,DDInter,Norgestrel,,,,DDInter1315
Nortriptyline,DRUG,DDInter,Nortriptyline,,,,DDInter1316
Novobiocin,DRUG,DDInter,Novobiocin,,,,DDInter1317
Nystatin,DRUG,DDInter,Nystatin,,,,DDInter1318
Obeticholic acid,DRUG,DDInter,Obeticholic acid,,,,DDInter1319
Atomoxetine,DRUG,DDInter,Atomoxetine,,,,DDInter132
Obinutuzumab,DRUG,DDInter,Obinutuzumab,,,,DDInter1320
Ocrelizumab,DRUG,DDInter,Ocrelizumab,,,,DDInter1321
Octasulfur (topical),DRUG,DDInter,Octasulfur (topical),,,,DDInter1322
Octreotide,DRUG,DDInter,Octreotide,,,,DDInter1323
Ofatumumab,DRUG,DDInter,Ofatumumab,,,,DDInter1324
Ofloxacin,DRUG,DDInter,Ofloxacin,,,,DDInter1325
Olanzapine,DRUG,DDInter,Olanzapine,,,,DDInter1326
Olaparib,DRUG,DDInter,Olaparib,,,,DDInter1327
Olaratumab,DRUG,DDInter,Olaratumab,,,,DDInter1328
Oliceridine,DRUG,DDInter,Oliceridine,,,,DDInter1329
Atorvastatin,DRUG,DDInter,Atorvastatin,,,,DDInter133
Olmesartan,DRUG,DDInter,Olmesartan,,,,DDInter1330
Olodaterol,DRUG,DDInter,Olodaterol,,,,DDInter1331
Olopatadine,DRUG,DDInter,Olopatadine,,,,DDInter1332
Olopatadine (nasal),DRUG,DDInter,Olopatadine (nasal),,,,DDInter1333
