preferred_label,lookup_key,atc_link,atc4,atc4_candidates,atc_exact,atc_candidates,RXCUI,DDINTER,ddinter_similarity
Rifaximina,rifaximina,A07AA11,A07AA,A07AA,A07AA11,A07AA11,35619,,
Rilpivirina,rilpivirina,J05AG05,J05AG,J05AG,J05AG05,J05AG05,1102270,,
Riluzolo,riluzolo,N07XX02,N07XX,N07XX,N07XX02,N07XX02,35623,,
Rilzabrutinib,rilzabrutinib,L01,,,L01,L01,,,
Rimegepant,rimegepant,N02CD06,N02CD,N02CD,N02CD06,N02CD06,2282307,DDInter1598,1.000000
Riociguat,riociguat,C02KX05,C02KX,C02KX,C02KX05,C02KX05,1439816,DDInter1600,1.000000
Ripretinib,ripretinib,L01EX19,L01EX,L01EX,L01EX19,L01EX19,2369389,DDInter1601,1.000000
Risankizumab,risankizumab,L04AC18,L04AC,L04AC,L04AC18,L04AC18,2166040,DDInter1602,1.000000
Risdiplam,risdiplam,M09AX10,M09AX,M09AX,M09AX10,M09AX10,2390935,DDInter1603,1.000000
Risedronate Sodium,risedronate sodium,M05BA07,M05BA,M05BA,M05BA07,M05BA07,,,
Risedronato Sodico,risedronato,M05BA07,M05BA,M05BA,M05BA07,M05BA07,,,
Risperidone,risperidone,N05AX08,N05AX,N05AX,N05AX08,N05AX08,35636,DDInter1605,1.000000
Ritlecitinib Tosilato,ritlecitinib tosilato,L04AF08,L04AF,L04AF,L04AF08,L04AF08,2641595,,
Ritonavir,ritonavir,J05AE03,J05AE,J05AE,J05AE03,J05AE03,85762,DDInter1607,1.000000
Rituximab,rituximab,L01FA01,,L01FA|L01XC,,L01FA01|L01XC02,121191,DDInter1608,1.000000
Rivaroxaban,rivaroxaban,B01AF01,B01AF,B01AF,B01AF01,B01AF01,1114195,DDInter1609,1.000000
Rivastigmina,rivastigmina,N06DA03,N06DA,N06DA,N06DA03,N06DA03,183379,,
Rivastigmina Idrogeno Tartrato,rivastigmina idrogeno,N06DA03,N06DA,N06DA,N06DA03,N06DA03,183379,,
Rizatriptan,rizatriptan,N02CC04,N02CC,N02CC,N02CC04,N02CC04,88014,DDInter1611,1.000000
Rizatriptan Benzoato,rizatriptan benzoato,N02CC04,N02CC,N02CC,N02CC04,N02CC04,237082,,
Robinia Pseudo Acacia,robinia pseudo acacia,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Rociverina,rociverina,A03AA06,A03AA,A03AA,A03AA06,A03AA06,,,
Rocuronio Bromuro,rocuronio,M03AC09,M03AC,M03AC,M03AC09,M03AC09,68139,,
Rodiola Estratto Secco,rodiola estratto secco,A13A,,,A13A,A13A,,,
Roflumilast,roflumilast,R03DX07,R03DX,R03DX,R03DX07,R03DX07,1091836,DDInter1614,1.000000
Romiplostim,romiplostim,B02BX04,B02BX,B02BX,B02BX04,B02BX04,805452,DDInter1617,1.000000
Romosozumab,romosozumab,M05BX06,M05BX,M05BX,M05BX06,M05BX06,2123126,DDInter1618,1.000000
Ropeginterferone Alfa-2B,ropeginterferone alfa-2b,L03AB15,L03AB,L03AB,L03AB15,L03AB15,2587059,,
Ropinirolo,ropinirolo,N04BC04,N04BC,N04BC,N04BC04,N04BC04,72302,,
Ropivacaina,ropivacaina,N01BB09,N01BB,N01BB,N01BB09,N01BB09,35780,,
Rosuvastatin Calcium,rosuvastatin calcium,C10BA06,C10BA,C10BA,C10BA06,C10BA06,,DDInter1622,1.000000
Rosuvastatina,rosuvastatina,C10AA07,,C10AA|C10BA|C10BX,,C10AA07|C10BA06|C10BX05,301542,,
Rotigotina,rotigotina,N04BC09,N04BC,N04BC,N04BC09,N04BC09,616739,,
Roxadustat,roxadustat,B03XA05,B03XA,B03XA,B03XA05,B03XA05,,,
Roxitromicina,roxitromicina,J01FA06,J01FA,J01FA,J01FA06,J01FA06,9478,,
Rozanolixizumab,rozanolixizumab,L04AG16,L04AG,L04AG,L04AG16,L04AG16,2642274,,
Rubidio Cloruro (82Rb),rubidio cloruro (82rb),V09GX04,V09GX,V09GX,V09GX04,V09GX04,,,
Rucaparib,rucaparib,L01XK03,L01XK,L01XK,L01XK03,L01XK03,1862579,DDInter1626,1.000000
Rufinamide,rufinamide,N03AF03,N03AF,N03AF,N03AF03,N03AF03,69036,DDInter1627,1.000000
Rufloxacina Cloridrato,rufloxacina,J01MA10,J01MA,J01MA,J01MA10,J01MA10,,,
Rumex Crispus,rumex crispus,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Rupatadina Fumarato,rupatadina,R06AX28,R06AX,R06AX,R06AX28,R06AX28,,,
Rupatadine,rupatadine,R06AX28,R06AX,R06AX,R06AX28,R06AX28,,,
Rurioctocog Alfa Pegol,rurioctocog alfa pegol,B02BD02,B02BD,B02BD,B02BD02,B02BD02,1741407,,
Ruta Graveolens,ruta graveolens,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Ruxolitinib,ruxolitinib,L01EJ01,,D11AH|L01EJ,,L01EJ01|D11AH09,1193326,DDInter1628,1.000000
Sabadilla,sabadilla,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Sabal Serrulata,sabal serrulata,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Sabina,sabina,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Saccharomyces Boulardii,saccharomyces boulardii,A07FA02,A07FA,A07FA,A07FA02,A07FA02,236782,,
Sacituzumab Govitecan,sacituzumab govitecan,L01FX17,L01FX,L01FX,L01FX17,L01FX17,2360232,DDInter1629,1.000000
Sacubitril Valsartan,sacubitril valsartan,C09DX04,C09DX,C09DX,C09DX04,C09DX04,1656339,,
Safinamide Metansolfonato,safinamide metansolfonato,N04BD03,N04BD,N04BD,N04BD03,N04BD03,1922449,,
Salbutamolo,salbutamolo,R03AC02,,R03AC|R03CC,,R03AC02|R03CC02,435,DDInter1632,0.952381
Salmeterolo Xinafoato,salmeterolo xinafoato,R03AC12,R03AC,R03AC,R03AC12,R03AC12,72616,,
Samario 153Sm Lexidronam Pentasodico,samario 153sm lexidronam pentasodico,V10BX02,V10BX,V10BX,V10BX02,V10BX02,177906,,
Sambucus Nigra,sambucus nigra,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Sanguinaria Canadensis,sanguinaria canadensis,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Sapropterina Cloridrato,sapropterina,A16AX07,A16AX,A16AX,A16AX07,A16AX07,753340,,
Sargramostim,sargramostim,L03AA09,L03AA,L03AA,L03AA09,L03AA09,69634,DDInter1642,1.000000
Sarilumab,sarilumab,L04AC14,L04AC,L04AC,L04AC14,L04AC14,1923319,DDInter1643,1.000000
Sars-Cov-2 Jn.1 Mrna,sars-cov-2 jn.1 mrna,J07BN01,J07BN,J07BN,J07BN01,J07BN01,2468230,,
Sars-Cov-2 Lp.8.1 Mrna,sars-cov-2 lp.8.1 mrna,J07BN01,J07BN,J07BN,J07BN01,J07BN01,2468230,,
Sarsaparilla,sarsaparilla,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Satralizumab,satralizumab,L04AC19,L04AC,L04AC,L04AC19,L04AC19,2391541,DDInter1644,1.000000
Saxagliptin,saxagliptin,A10BH03,A10BH,A10BH,A10BH03,A10BH03,857974,DDInter1646,1.000000
Scopolamina Butilbromuro,scopolamina butilbromuro,A03BB01,,A03BB|A03DB,,A03BB01|A03DB04,,,
Sebelipase Alfa,sebelipase alfa,A16AB14,A16AB,A16AB,A16AB14,A16AB14,1726975,,
Sebetralstat,sebetralstat,B06AC08,B06AC,B06AC,B06AC08,B06AC08,2717944,,
Secale Cornutum,secale cornutum,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Secukinumab,secukinumab,L04AC10,L04AC,L04AC,L04AC10,L04AC10,1599788,DDInter1652,1.000000
Seladelpar,seladelpar,A05AX07,A05AX,A05AX,A05AX07,A05AX07,2690869,,
