preferred_label,lookup_key,atc_link,atc4,atc4_candidates,atc_exact,atc_candidates,RXCUI,DDINTER,ddinter_similarity
Rasagilina,rasagilina,N04BD02,N04BD,N04BD,N04BD02,N04BD02,134748,,
Rasburicase,rasburicase,V03AF07,V03AF,V03AF,V03AF07,V03AF07,283821,DDInter1573,1.000000
Ratania Radice,ratania radice,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Rathania,rathania,V03AX,V03AX,V03AX,V03AX,V03AX,,,
Ravulizumab,ravulizumab,L04AJ02,L04AJ,L04AJ,L04AJ02,L04AJ02,2107301,DDInter1574,1.000000
Raxtozinameran,raxtozinameran,J07BN01,J07BN,J07BN,J07BN01,J07BN01,2664825,,
Reboxetina,reboxetina,N06AX18,N06AX,N06AX,N06AX18,N06AX18,60842,,
Regadenoson,regadenoson,C01EB21,C01EB,C01EB,C01EB21,C01EB21,640062,DDInter1575,1.000000
Regorafenib,regorafenib,L01EX05,L01EX,L01EX,L01EX05,L01EX05,1312397,DDInter1576,1.000000
Relugolix,relugolix,L02BX04,L02BX,L02BX,L02BX04,L02BX04,2472778,DDInter1577,1.000000
Remdesivir,remdesivir,J05AB16,J05AB,J05AB,J05AB16,J05AB16,2284718,DDInter1578,1.000000
