preferred_label,normalized_label,ATC,atc_link
ACTAEA RACEMOSA,actaea racemosa,V03AX,V03AX
ACTAEA SPICATA,actaea spicata,V03AX,V03AX
ACTAEA SPICATA DYNAMIS,actaea spicata dynamis,V03AX,V03AX
ACTALIDE,actalide,M02AA26|A01AD11,
ACTEA RACEMOSA,actea racemosa,V03AX,V03AX
ACTELSAR HCT,actelsar hct,C09DA07,C09DA07
ACTIFED,actifed,R01BA52,R01BA52
ACTIFED COMPOSTO,actifed composto,R05DA20,R05DA20
ACTIFED DECONGESTIONANTE,actifed decongestionante,R01AA07,R01AA07
ACTIGRIP,actigrip,R01BA52,R01BA52
ACTIGRIP GIORNO & NOTTE,actigrip giorno & notte,N02BE51,N02BE51
ACTIGRIP TOSSE MUCOLITICO,actigrip tosse mucolitico,R05CA03,R05CA03
ACTIKERALL,actikerall,L01BC52,L01BC52
ACTILYSE,actilyse,B01AD02,B01AD02
ACTIQ,actiq,N02AB03,N02AB03
ACTISINU,actisinu,R01BA52,R01BA52
ACTIVELLE,activelle,G03FA01,G03FA01
ACTONEL,actonel,M05BA07,M05BA07
ACTOS,actos,A10BG03,A10BG03
ACTRAPHANE,actraphane,A10AD01,A10AD01
ACTRAPID,actrapid,A10AB01,A10AB01
ACULAR,acular,S01BC05,S01BC05
ACURMIL,acurmil,M03AC04,M03AC04
ACVYBRA,acvybra,M05BX04,M05BX04
ACY,acy,S01AD03,S01AD03
ADAGLIP,adaglip,A10BH01,A10BH01
ADALAIN,adalain,D10AD53,D10AD53
ADALAT CRONO,adalat crono,C08CA05,C08CA05
ADAPALENE E BENZOILE PEROSSIDO MEDGEN,adapalene e benzoile perossido medgen,D10AD53,D10AD53
ADAPTUS,adaptus,C09BB12,C09BB12
ADASUVE,adasuve,N05AH01,N05AH01
ADCETRIS,adcetris,L01FX05,L01FX05
ADCIRCA,adcirca,G04BE08,G04BE08
ADDAMEL N,addamel n,B05XA30,B05XA30
ADDOFIX,addofix,A03BB01,A03BB01
ADEMPAS,adempas,C02KX05,C02KX05
ADENOIDI,adenoidi,V03AX,V03AX
ADENOSCAN,adenoscan,C01EB10,C01EB10
ADENOSINA HIKMA,adenosina hikma,C01EB10,C01EB10
ADENOSINA KABI,adenosina kabi,C01EB10,C01EB10
ADENURIC,adenuric,M04AA03,M04AA03
ADEPRIL,adepril,N06AA09,N06AA09
ADESITRIN,adesitrin,C01DA02,C01DA02
ADIABIN,adiabin,A10BD07,A10BD07
ADIUNASTROL,adiunastrol,L02BG03,L02BG03
ADOLEF,adolef,N02BE01,N02BE01
ADONIS VERNALIS DYNAMIS,adonis vernalis dynamis,V03AX,V03AX
ADOPORT,adoport,L04AD02,L04AD02
ADRENALINA AGUETTANT,adrenalina aguettant,C01CA24,C01CA24
ADRENALINA GALENICA SENESE,adrenalina galenica senese,C01CA24,C01CA24
ADRENALINA MONICO,adrenalina monico,C01CA24,C01CA24
ADRENALINA S.A.L.F.,adrenalina s.a.l.f.,C01CA24,C01CA24
ADREVIEW,adreview,V09IX01,V09IX01
ADRIBLASTINA,adriblastina,L01DB01,L01DB01
ADRONAT,adronat,M05BA04,M05BA04
ADROVANCE,adrovance,M05BB03,M05BB03
ADTRALZA,adtralza,D11AH07,D11AH07
ADVAGRAF,advagraf,L04AD02,L04AD02
ADVANTAN,advantan,D07AC14,D07AC14
ADVATE,advate,B02BD02,B02BD02
ADYNOVI,adynovi,B02BD02,B02BD02
ADZYNMA,adzynma,B01AD13,B01AD13
AERFLU,aerflu,R03BA03,R03BA03
AERINAZE,aerinaze,R01BA52,R01BA52
AERIUS,aerius,R06AX27,R06AX27
AEROLID,aerolid,R03BA03,R03BA03
AEROMEX,aeromex,R03AK06,R03AK06
AERRANE,aerrane,N01AB06,N01AB06
AESCULUS HEEL,aesculus heel,V03AX,V03AX
AESCULUS HEEL COMPLEX,aesculus heel complex,V03AX,V03AX
AESCULUS HIPPOCASTANUM,aesculus hippocastanum,V03AX,V03AX
AESCULUSPLUS (SYNERGIPLUS N.309),aesculusplus (synergiplus n.309),V03AX,V03AX
AETHUSA CYNAPIUM,aethusa cynapium,V03AX,V03AX
AETHUSA CYNAPIUM DYNAMIS,aethusa cynapium dynamis,V03AX,V03AX
AFINITOR,afinitor,L01EG02,L01EG02
AFQLIR,afqlir,S01LA05,S01LA05
