ddinter_id_1,ddinter_id_2,source,severity,description
DDInter100,DDInter1414,DDInter,Moderate,DDInter moderate interaction between Pemetrexed and Anthrax vaccine.
DDInter100,DDInter1425,DDInter,Moderate,DDInter moderate interaction between Pentostatin and Anthrax vaccine.
DDInter100,DDInter148,DDInter,Moderate,DDInter moderate interaction between Azacitidine and Anthrax vaccine.
DDInter100,DDInter1484,DDInter,Moderate,DDInter moderate interaction between Plicamycin and Anthrax vaccine.
DDInter100,DDInter1491,DDInter,Moderate,DDInter moderate interaction between Pomalidomide and Anthrax vaccine.
DDInter100,DDInter1492,DDInter,Moderate,DDInter moderate interaction between Ponatinib and Anthrax vaccine.
DDInter100,DDInter150,DDInter,Moderate,DDInter moderate interaction between Azathioprine and Anthrax vaccine.
DDInter100,DDInter1502,DDInter,Moderate,DDInter moderate interaction between Pralatrexate and Anthrax vaccine.
DDInter100,DDInter1513,DDInter,Moderate,DDInter moderate interaction between Prednisolone and Anthrax vaccine.
DDInter100,DDInter1515,DDInter,Moderate,DDInter moderate interaction between Prednisone and Anthrax vaccine.
DDInter100,DDInter1526,DDInter,Moderate,DDInter moderate interaction between Procarbazine and Anthrax vaccine.
DDInter100,DDInter1588,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Ribociclib.
DDInter100,DDInter1594,DDInter,Moderate,DDInter moderate interaction between Rilonacept and Anthrax vaccine.
DDInter100,DDInter1602,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Risankizumab.
DDInter100,DDInter1608,DDInter,Moderate,DDInter moderate interaction between Rituximab and Anthrax vaccine.
DDInter100,DDInter1616,DDInter,Moderate,DDInter moderate interaction between Romidepsin and Anthrax vaccine.
DDInter100,DDInter1626,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Rucaparib.
DDInter100,DDInter1628,DDInter,Moderate,DDInter moderate interaction between Ruxolitinib and Anthrax vaccine.
DDInter100,DDInter1643,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Sarilumab.
DDInter100,DDInter165,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Baricitinib.
DDInter100,DDInter1652,DDInter,Moderate,DDInter moderate interaction between Secukinumab and Anthrax vaccine.
DDInter100,DDInter1657,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Selinexor.
DDInter100,DDInter166,DDInter,Moderate,DDInter moderate interaction between Basiliximab and Anthrax vaccine.
DDInter100,DDInter1668,DDInter,Moderate,DDInter moderate interaction between Siltuximab and Anthrax vaccine.
DDInter100,DDInter1676,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Siponimod.
DDInter100,DDInter1678,DDInter,Moderate,DDInter moderate interaction between Sirolimus and Anthrax vaccine.
DDInter100,DDInter1714,DDInter,Moderate,DDInter moderate interaction between Streptozocin and Anthrax vaccine.
DDInter100,DDInter172,DDInter,Moderate,DDInter moderate interaction between Belatacept and Anthrax vaccine.
DDInter100,DDInter173,DDInter,Moderate,DDInter moderate interaction between Belimumab and Anthrax vaccine.
DDInter100,DDInter1735,DDInter,Moderate,DDInter moderate interaction between Tacrolimus and Anthrax vaccine.
DDInter100,DDInter174,DDInter,Moderate,DDInter moderate interaction between Belinostat and Anthrax vaccine.
DDInter100,DDInter1742,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Talazoparib.
DDInter100,DDInter1762,DDInter,Moderate,DDInter moderate interaction between Temozolomide and Anthrax vaccine.
DDInter100,DDInter1763,DDInter,Moderate,DDInter moderate interaction between Temsirolimus and Anthrax vaccine.
DDInter100,DDInter1765,DDInter,Moderate,DDInter moderate interaction between Teniposide and Anthrax vaccine.
DDInter100,DDInter1771,DDInter,Moderate,DDInter moderate interaction between Teriflunomide and Anthrax vaccine.
DDInter100,DDInter178,DDInter,Moderate,DDInter moderate interaction between Bendamustine and Anthrax vaccine.
DDInter100,DDInter1782,DDInter,Moderate,DDInter moderate interaction between Tetracosactide and Anthrax vaccine.
DDInter100,DDInter1789,DDInter,Moderate,DDInter moderate interaction between Thalidomide and Anthrax vaccine.
DDInter100,DDInter1797,DDInter,Moderate,DDInter moderate interaction between Thiotepa and Anthrax vaccine.
DDInter100,DDInter1806,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Tildrakizumab.
DDInter100,DDInter1814,DDInter,Moderate,DDInter moderate interaction between Tioguanine and Anthrax vaccine.
DDInter100,DDInter1824,DDInter,Moderate,DDInter moderate interaction between Tocilizumab and Anthrax vaccine.
DDInter100,DDInter1825,DDInter,Moderate,DDInter moderate interaction between Tofacitinib and Anthrax vaccine.
DDInter100,DDInter1835,DDInter,Moderate,DDInter moderate interaction between Topotecan and Anthrax vaccine.
DDInter100,DDInter1838,DDInter,Moderate,DDInter moderate interaction between Tositumomab and Anthrax vaccine.
DDInter100,DDInter1839,DDInter,Moderate,DDInter moderate interaction between Tositumomab (I-131) and Anthrax vaccine.
DDInter100,DDInter1840,DDInter,Moderate,DDInter moderate interaction between Trabectedin and Anthrax vaccine.
DDInter100,DDInter1846,DDInter,Moderate,DDInter moderate interaction between Trastuzumab and Anthrax vaccine.
DDInter100,DDInter1855,DDInter,Moderate,DDInter moderate interaction between Triamcinolone and Anthrax vaccine.
DDInter100,DDInter1857,DDInter,Moderate,DDInter moderate interaction between Triamcinolone (ophthalmic) and Anthrax vaccine.
DDInter100,DDInter1868,DDInter,Moderate,DDInter moderate interaction between Trifluridine and Anthrax vaccine.
DDInter100,DDInter1875,DDInter,Moderate,DDInter moderate interaction between Trimetrexate and Anthrax vaccine.
DDInter100,DDInter1901,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Upadacitinib.
DDInter100,DDInter1902,DDInter,Moderate,DDInter moderate interaction between Uracil mustard and Anthrax vaccine.
DDInter100,DDInter1907,DDInter,Moderate,DDInter moderate interaction between Ustekinumab and Anthrax vaccine.
DDInter100,DDInter1923,DDInter,Moderate,DDInter moderate interaction between Vedolizumab and Anthrax vaccine.
DDInter100,DDInter1926,DDInter,Moderate,DDInter moderate interaction between Anthrax vaccine and Venetoclax.
DDInter100,DDInter1936,DDInter,Moderate,DDInter moderate interaction between Vinblastine and Anthrax vaccine.
DDInter100,DDInter1937,DDInter,Moderate,DDInter moderate interaction between Vincristine and Anthrax vaccine.
DDInter100,DDInter1938,DDInter,Moderate,DDInter moderate interaction between Vincristine (liposome) and Anthrax vaccine.
DDInter100,DDInter1939,DDInter,Moderate,DDInter moderate interaction between Vinorelbine and Anthrax vaccine.
DDInter100,DDInter195,DDInter,Moderate,DDInter moderate interaction between Betamethasone and Anthrax vaccine.
DDInter100,DDInter202,DDInter,Moderate,DDInter moderate interaction between Bexarotene and Anthrax vaccine.
DDInter100,DDInter219,DDInter,Moderate,DDInter moderate interaction between Bleomycin and Anthrax vaccine.
DDInter100,DDInter220,DDInter,Moderate,DDInter moderate interaction between Blinatumomab and Anthrax vaccine.
DDInter100,DDInter222,DDInter,Moderate,DDInter moderate interaction between Bortezomib and Anthrax vaccine.
DDInter100,DDInter224,DDInter,Moderate,DDInter moderate interaction between Bosutinib and Anthrax vaccine.
DDInter100,DDInter228,DDInter,Moderate,DDInter moderate interaction between Brentuximab vedotin and Anthrax vaccine.
