ingredient,atc4,rxcui,how
Cloramina T (Tosilcloramide Sodica),D08AX,,unresolved
Clormetina,L01AA,6674,raw
Clorfenamina Maleato,R06AB,2400,salt
Clorpromazina,N05AA,2403,raw
Cloroprocaina Cloridrato,N01BA,20859,salt
Clortalidone,C03BA,2409,raw
Clortetraciclina Cloridrato,D06AA,2408,salt
Cloruro Di Calcio,B05XA,1901,salt
Clostridium Botulinum,M03AX,,unresolved
Cloruro Di Tallio (201-Tl)*,V09GX,91588,salt
Clotiapina,N05AH,2620,raw
Clotiazepam,N05BA,2622,raw
Clotrimazolo,D01AC,2623,raw
Cobimetinib,L01EE,1722365,raw
Clozapina,N05AH,2626,raw
Cocculus,V03AX,,unresolved
Cobamamide,B03BA,21373,raw
Coffea,V03AX,,unresolved
Colibacillinum,V03AX,,unresolved
Colchicina,M04AC,2683,raw
Colecalciferolo,A11CC,2418,raw
Colestiramina Cloridrato,C10AC,2447,salt
Colchicum Autumnale,V03AX,,unresolved
Colina Alfoscerato,N07AX,,unresolved
Colistimetato Sodico,J01XB,2708,salt
Collagenasi,D03BA,58939,raw
Collinsonia Canadensis,V03AX,,unresolved
Collagene,V03AX,,unresolved
Colon,V03AX,,unresolved
