ingredient,atc4,rxcui,how
Pulsatilla Vulgaris,V03AX,,unresolved
Quetiapina,N05AH,51272,raw
Quetiapina Fumarato,N05AH,51272,salt
Quetiapine,N05AH,51272,raw
Quinapril,C09AA,35208,raw
Quizartinib,L01EX,2643048,raw
Quinapril Cloridrato,C09AA,35208,salt
Rabeprazolo Sodico,A02BC,114979,salt
Rabeprazolo Sodico Monoidrato,A02BC,114979,salt
Racecadotril,A07XA,16738,raw
Radamts13,B01AD,,unresolved
Radio (223Ra) Dicloruro,V10XX,,unresolved
Raloxifene Cloridrato,G03XC,72143,salt
Raltegravir,J05AJ,719872,raw
Raltitrexed,L01BA,196239,raw
Ramipril,C09AA,35296,raw
Ramucirumab,L01FG,1535922,raw
Ranibizumab,S01LA,595060,raw
Ranitidina,A02BA,9143,raw
Ranolazina,C01EB,35829,raw
Ranitidina Cloridrato,A02BA,9143,salt
Ranunculus Bulbosus,V03AX,,unresolved
Raphanus Niger,V03AX,,unresolved
Rasagilina,N04BD,134748,raw
Rasagilina Mesilato,N04BD,134748,salt
Rasburicase,V03AF,283821,raw
Ratania Radice,V03AX,,unresolved
Rathania,V03AX,,unresolved
Ravulizumab,L04AJ,2107301,raw
Raxtozinameran,J07BN,2664825,raw
Reboxetina,N06AX,60842,raw
Regadenoson,C01EB,640062,raw
Regorafenib,L01EX,1312397,raw
Relugolix,L02BX,2472778,raw
Remdesivir,J05AB,2284718,raw
Rene,V03AX,,unresolved
Remifentanil Cloridrato,N01AH,73032,salt
Remimazolam,N05CD,2383941,raw
Repaglinide,A10BX,73044,raw
Repentina,G04CX,,unresolved
Repotrectinib,L01EX,2670644,raw
Resina P-Ter-Butilfenolo Formaldeidica,V04CL,,unresolved
Reslizumab,R03DX,1746889,raw
Resmetirom,A05BA,2677894,raw
Retifanlimab,L01FF,2632981,raw
Rezafungin,J02AX,2639155,raw
Ribavirina,J05AP,9344,raw
Rheum Officinale,V03AX,,unresolved
Ribociclib,L01EF,1873916,raw
Riboflavina,A11JB,,unresolved
Ricinus Communis,V03AX,,unresolved
Rifabutina,J04AB,55672,raw
Rifamicina Sodica,J04AB,35616,salt
Rifampicina,J04AB,9384,raw
Rifaximina,A07AA,35619,raw
Rilpivirina,J05AG,1102270,raw
Riluzolo,N07XX,35623,raw
Rimegepant,N02CD,2282307,raw
Riociguat,C02KX,1439816,raw
Ripretinib,L01EX,2369389,raw
Risankizumab,L04AC,2166040,raw
Risdiplam,M09AX,2390935,raw
Risedronate Sodium,M05BA,,unresolved
Risperidone,N05AX,35636,raw
Ritlecitinib Tosilato,L04AF,2641595,raw
Ritonavir,J05AE,85762,raw
Rituximab,L01FA,121191,raw
Risedronato Sodico,M05BA,,unresolved
Rivaroxaban,B01AF,1114195,raw
Risedronato Sodico Emipentaidrato,M05BA,,unresolved
Rivastigmina,N06DA,183379,raw
Rivastigmina Idrogeno Tartrato,N06DA,183379,salt
Rociverina,A03AA,,unresolved
Rizatriptan,N02CC,88014,raw
Rizatriptan Benzoato,N02CC,237082,raw
Robinia Pseudo Acacia,V03AX,,unresolved
Rocuronio Bromuro,M03AC,68139,salt
Roflumilast,R03DX,1091836,raw
Romiplostim,B02BX,805452,raw
Romosozumab,M05BX,2123126,raw
Ropeginterferone Alfa-2B,L03AB,2587059,raw
Ropinirolo,N04BC,72302,raw
Ropinirolo Cloridrato,N04BC,72302,salt
Ropivacaina,N01BB,35780,raw
Ropivacaina Cloridrato Monoidrato,N01BB,35780,salt
Rosuvastatin Calcium,C10BA,,unresolved
Rosuvastatina,C10AA,301542,raw
Roxadustat,B03XA,,unresolved
Rosuvastatina Sale Di Calcio,C10AA,301542,salt
Rotigotina,N04BC,616739,raw
Roxitromicina,J01FA,9478,raw
Rozanolixizumab,L04AG,2642274,raw
Rubidio Cloruro (82Rb),V09GX,,unresolved
Rucaparib,L01XK,1862579,raw
Rufinamide,N03AF,69036,raw
Rupatadine,R06AX,,unresolved
Rufloxacina Cloridrato,J01MA,,unresolved
Rumex Crispus,V03AX,,unresolved
Sabadilla,V03AX,,unresolved
Rurioctocog Alfa Pegol,B02BD,1741407,raw
Ruta Graveolens,V03AX,,unresolved
Rupatadina Fumarato,R06AX,,unresolved
Ruxolitinib,L01EJ,1193326,raw
Sabal Serrulata,V03AX,,unresolved
Sabina,V03AX,,unresolved
Saccharomyces Boulardii,A07FA,236782,raw
Sacituzumab Govitecan,L01FX,2360232,raw
Sacubitril Valsartan,C09DX,1656339,raw
Safinamide Metansolfonato,N04BD,1922449,raw
Salbutamolo,R03AC,435,raw
Salbutamolo Solfato,R03AC,435,salt
Salmeterolo Xinafoato,R03AC,72616,raw
Samario 153Sm Lexidronam Pentasodico,V10BX,177906,raw
Sambucus Nigra,V03AX,,unresolved
Sanguinaria Canadensis,V03AX,,unresolved
Sapropterina Cloridrato,A16AX,753340,salt
Sapropterina Dicloridrato,A16AX,753340,raw
Sargramostim,L03AA,69634,raw
Sarilumab,L04AC,1923319,raw
Sars-Cov-2 Jn.1 Mrna,J07BN,2468230,raw
Sars-Cov-2 Lp.8.1 Mrna,J07BN,2468230,raw
Sarsaparilla,V03AX,,unresolved
Satralizumab,L04AC,2391541,raw
Sebelipase Alfa,A16AB,1726975,raw
Scopolamina Butilbromuro,A03BB,,unresolved
Saxagliptin,A10BH,857974,raw
Sebetralstat,B06AC,2717944,raw
Secale Cornutum,V03AX,,unresolved
Secukinumab,L04AC,1599788,raw
Seladelpar,A05AX,2690869,raw
Selenio,V03AX,,unresolved
Selegilina Cloridrato,N04BD,9639,salt
Selenio-75Se-Acido Tauroselcolico,V09DX,,unresolved
Selexipag,B01AC,1729002,raw
Selinexor,L01XX,2178390,raw
Selpercatinib,L01EX,2370147,raw
Selumetinib,L01EE,2289380,raw
Semaglutide,A10BJ,1991302,raw
Senecio Aureus,V03AX,,unresolved
Senega,V03AX,,unresolved
Senna,V03AX,,unresolved
Serplulimab,L01FF,,unresolved
Senna Foglia,A06AB,36387,raw
Senna Foglia (Glucosidi Puri),A06AB,36387,raw
Senna Estratto Secco,A06AB,36387,raw
Sennosidi A E B,A06AB,36387,raw
Sertaconazolo Nitrato,D01AC,36435,salt
Sertralina,N06AB,36437,raw
Setmelanotide,A08AA,2469247,raw
Sertralina Cloridrato,N06AB,36437,salt
Sevelamer,V03AE,214824,raw
Sevelamer Carbonato,V03AE,660890,raw
Sevoflurano,N01AB,36453,raw
Silimarina (Silybum Marianum L.Gaertner),A05BA,,unresolved
Sildenafil Citrato,G04BE,136411,salt
Silodosina,G04CA,720825,raw
Silicea,V03AX,,unresolved
Sildenafil,G04BE,136411,raw
Sferoidi Di Condrociti Umani  Autologhi Associati Alla Matrice,M09AX,,unresolved
Silodosin,G04CA,720825,raw
Simoctocog Alfa,B02BD,1729084,raw
Siltuximab,L04AC,1535218,raw
Simeticone,A03AX,,unresolved
Simvastatina,C10AA,36567,raw
Sinapis Nigra,V03AX,,unresolved
Sipavibart,J06BD,,unresolved
Sinecatechina,D06BB,753346,raw
Siponimod,L04AE,2121085,raw
Sirolimus,L04AH,35302,raw
Sitagliptin,A10BH,593411,raw
Sitagliptin Cloridrato Monoidrato,A10BH,593411,salt
Sitagliptin Fosfato Monoidrato,A10BH,593411,salt
Sitagliptin Fumarato,A10BH,593411,salt
Sitagliptin Malato,A10BH,593411,raw
"Smallpox And Monkeypox Vaccine, Live, Non-Replicating",J07BX,,unresolved
Sobrerolo,R05CB,36669,raw
Sodio Acetato,B05XA,56443,raw
Sodio Citrato,V07AC,,unresolved
Sodio Ascorbato,A11GA,,unresolved
Sodio Bicarbonato,B05BB,,unresolved
Sodio Diidrogeno Fosfato Diidrato,A06AG,,unresolved
Sodio Cloruro,B05BB,,unresolved
Sodio Cromoglicato,S01GX,,unresolved
Sodio Fenilbutirrato,A16AX,,unresolved
Sodio Ferrigluconato,B03AB,,unresolved
Sodio Fluoruro,A01AA,,unresolved
Sodio Indigotindisolfonato,V04CH,325514,salt
Sodio Fosfato Monobasico,A06AG,,unresolved
Sodio Fosfato Bibasico Dodecaidrato,V03AX,,unresolved
Sodio Glicerofosfato,B05XA,,unresolved
Sodio Ialuronato,S01XA,,unresolved
Sodio Lattato,B05XA,,unresolved
Sodio Ipoclorito,D08AX,,unresolved
Sodio Ossidronato,V09BA,,unresolved
Sodio Ioduro (123-I)*,V09FX,,unresolved
Sodio Ioduro 131I,V09FX,,unresolved
Sodio Molibdato (99 Mo)*,V09FX,,unresolved
Sodio Picosolfato,A06AB,33688,salt
Sodio Oxibato,N07XX,,unresolved
Sodio Seleniato Pentaidrato,A12CE,36717,salt
Sodio Pirofosfato Decaidrato,V09GA,,unresolved
Sodio Pertecnetato Tc-99M,V09FX,,unresolved
Sodio Tetradecilsolfato,C05BB,9913,salt
Sodio Polistirene Solfonato,V03AE,,unresolved
Sodio Valproato,N03AG,40254,salt
Sofosbuvir,J05AP,1484911,raw
Sodio Tiosolfato,V03AB,,unresolved
Solidago Virgaurea,V03AX,,unresolved
Solifenacina,G04BD,322167,raw
Soluzione Per Emodiafiltrazione,B05ZB,,unresolved
Solifenacina Succinato,G04BD,322167,salt
Solriamfetol,N06BA,2121751,raw
Soluzione Per Dialisi Peritoneale,B05DB,,unresolved
Soluzione Per Emofiltrazione,B05ZB,,unresolved
Soluzione Per Emodialisi,B05ZA,,unresolved
Somapacitan,H01AC,2557373,raw
Somatostatina,H01CB,9939,raw
Somatostatina Acetato,H01CB,9939,salt
Somatrogon,H01AC,2644503,raw
Somatropina,H01AC,61148,raw
Sonidegib,L01XJ,1659191,raw
Sorafenib,L01EX,495881,raw
Sorafenib Tosilato,L01EX,495881,raw
Sotalolo Cloridrato,C07AA,9947,salt
Sotatercept,C02KC,,unresolved
Sotorasib,L01XX,2550714,raw
Sparsentan,C09XX,2630535,raw
Spesolimab,L04AC,2610417,raw
Spigelia Anthelmia,V03AX,,unresolved
Spiraea Ulmaria,V03AX,,unresolved
Spironolattone,C03DA,9997,raw
Spiramicina,J01FA,9991,raw
Spongia Tosta,V03AX,,unresolved
Staphylococcinum,V03AX,,unresolved
Stannum Metallicum,V03AX,,unresolved
Staphysagria,V03AX,,unresolved
Sticta Pulmonaria,V03AX,,unresolved
Stiripentolo,N03AX,2054968,raw
Spore Di Bacillus Clausii Poliantibiotico Resistente,A07FA,,unresolved
Streptococcinum,V03AX,,unresolved
Streptozocina,L01AD,10114,raw
Strontium Carbonicum,V03AX,,unresolved
Sucralfato,A02BX,10156,raw
Sufentanil Citrato,N01AH,56795,salt
Sugemalimab,L01FF,,unresolved
Sugammadex,V03AB,1726988,raw
Sugammadex Sodium,V03AB,1726987,raw
Sulfadiazina Argentica,D06BA,,unresolved
Sulfasalazina,A07EC,9524,raw
Sulfur,V03AX,,unresolved
Sulodexide,B01AB,,unresolved
Sulfur Iodatum,V03AX,,unresolved
Sulpiride,N05AL,10239,raw
Sulprostone,G02AD,,unresolved
Sultiame,N03AX,10240,raw
Sumatriptan Succinato,N02CC,37418,salt
Sunitinib,L01EX,357977,raw
Sumatriptan,N02CC,37418,raw
Sunitinib Malato,L01EX,616275,raw
Susoctocog Alfa,B02BD,1592899,raw
Suxamethonium,M03AB,10154,raw
Sutimlimab,L04AJ,2591404,raw
Symphytum Officinale,V03AX,,unresolved
Tabacum,V03AX,,unresolved
Tabelecleucel,L01XL,1986438,raw
Tacrolimus,L04AD,42316,raw
Tacrolimus Monoidrato,L04AD,42316,salt
Tafamidis,N07XX,1545063,raw
Tadalafil,G04BE,358263,raw
Tafasitamab,L01FX,2387211,raw
Tafluprost,S01EE,1244607,raw
Tagraxofusp,L01XX,2109055,raw
Talazoparib,L01XK,2099704,raw
Talquetamab,L01FX,2644447,raw
Talidomide,L04AX,10432,raw
Talimogene Laherparepvec,L01XX,,unresolved
Tamoxifene,L02BA,10324,raw
Tamoxifene Citrato,L02BA,10324,salt
Tamsulosin Cloridrato,G04CA,77492,salt
Tapentadolo,N02AX,787390,raw
Taraxacum Officinale,V03AX,,unresolved
Tapentadolo Cloridrato,N02AX,787390,salt
Tamsulosina Cloridrato,G04CA,77492,salt
Tartarus Stibiatus,V03AX,,unresolved
Tasimelteon,N05CH,1490468,raw
Tasonermina,L03AX,283746,raw
Teclistamab,L01FX,2619426,raw
Tebentafusp,L01XX,2590743,raw
Tecnezio 99 Mtc Technegas,V09EA,,unresolved
Tecovirimat,J05AX,2055104,raw
Tedizolid Fosfato,J01XX,1540825,salt
Teduglutide,A16AX,1364468,raw
Telmisartan,C09CA,73494,raw
Teicoplanina,J01XA,57021,raw
Tegomil Fumarato,L04AX,,unresolved
Telotristat,A16AX,1872382,raw
Temoporfin,L01XD,115243,raw
Temozolomide,L01AX,37776,raw
Temsirolimus,L01EG,657797,raw
Tenecteplase,B01AD,259280,raw
Tenofovir Alafenamide,J05AF,1721603,raw
Tenoxicam,M01AC,37790,raw
Tepotinib,L01EX,2477103,raw
Tenofovir Disoproxil,J05AF,300195,raw
Terazosina,G04CA,37798,raw
Teprotumumab,L04AG,2274803,raw
Terazosina Cloridrato,G04CA,37798,salt
Terbinafina,D01BA,37801,raw
Terebinthina,V03AX,,unresolved
Terbinafina Cloridrato,D01BA,37801,salt
Terbinafine Hydrochloride,D01AE,235838,raw
Teriflunomide,L04AK,1310520,raw
Teriparatide,H05AA,32915,raw
Terlipressina,H01BA,57048,raw
Testosterone,G03BA,10379,raw
Terlipressina Acetato Idrato,H01BA,57048,salt
Testosterone Enantato,G03BA,10379,raw
Testosterone Undecanoato,G03BA,37864,raw
Testosterone Propionato,G03BA,10382,raw
Tetrabenazina,N07XX,10390,raw
Tetraciclina Base,J01AA,,unresolved
Tetraciclina Cloridrato,J01AA,10395,salt
Tetracosactide Esacetato,H01AA,2890,raw
Tetrametiltiuramdisolfuro,D08AX,,unresolved
Tetrakis (2-Metossi-Isobutil-Isonitrile) Rame Tetrafluoroborato,V09GA,,unresolved
Tetrakis(2-Metossi-2-Metilpropil-1 Isocianide)Rame(I),V09GA,,unresolved
Tetrofosmina,V09GA,,unresolved
Tetrizolina Cloridrato,S01GA,37935,salt
Teucrium Marum,V03AX,,unresolved
Tezepelumab,R03DX,2587789,raw
Thuya Lobii,V03AX,,unresolved
Thlaspi Bursa Pastoris,V03AX,,unresolved
Tiagabina,N03AG,31914,raw
Tiamfenicolo,J01BA,,unresolved
Thyroide,V03AX,,unresolved
Thuya Occidentalis,V03AX,,unresolved
Tiamazolo,H03BB,6835,raw
Tiamfenicolo Glicinato Acetilcisteinato,J01BA,,unresolved
Tiamina Cloridrato,A11DA,10454,salt
Tiapride Cloridrato,N05AL,10588,salt
Tibolone,G03CX,38260,raw
Ticagrelor,B01AC,1116632,raw
Ticlopidina Cloridrato,B01AC,10594,salt
Tigeciclina,J01AA,384455,raw
Tildrakizumab,L04AC,2053436,raw
Tilia Europaea,V03AX,,unresolved
Timololo,S01ED,10600,raw
Timololo Maleato,S01ED,10600,salt
Tilia Tomentosa,V03AX,,unresolved
Timosina Alfa 1,L03AX,,unresolved
Tinidazolo,P01AB,10612,raw
Tinzaparina Sodica,B01AB,69646,salt
Tiocolchicoside,M03BX,38085,raw
Tioconazole,D01AC,38298,raw
Tioconazolo,D01AC,38298,raw
Tioguanina,L01BB,10485,raw
Tiotepa,L01AC,10473,raw
Tiotropio Bromuro,R03BB,69120,salt
Tiotropio Bromuro Monoidrato,R03BB,69120,salt
Tipranavir,J05AE,190548,raw
Tiotropio Bromuro Anidro,R03BB,69120,salt
Tiratricolo,H03AA,13982,raw
Tirotropina,V04CJ,,unresolved
Tirbanibulina,D06BX,2471078,raw
Tirofiban,B01AC,73137,raw
Tirofiban Cloridrato Monoidrato,B01AC,73137,salt
Tirotricina,R02AB,10968,raw
Tirzepatide,A10BX,2601723,raw
Tisagenlecleucel,L01XL,1986438,raw
Tislelizumab,L01FF,2677426,raw
Tisotumab Vedotin,L01FX,2571094,raw
Tivozanib,L01EK,2534233,raw
Tizanidina,M03BX,57258,raw
Tizanidina Cloridrato,M03BX,57258,salt
Tobramicina Solfato,J01GB,10627,salt
Tobramicina,S01AA,10627,raw
Tocilizumab,L04AC,612865,raw
Tocoferolo,A11HA,159151,raw
Tofacitinib,L04AF,1357536,raw
Tofersen,N07XX,2634995,raw
Tolcapone,N04BX,72937,raw
Tolterodina Tartrato,G04BD,119565,salt
Tolvaptan,C03XA,358257,raw
Tocoferolo Acetato D-Alfa,A11HA,,unresolved
Topiramato,N03AX,38404,raw
Topotecan,L01CE,57308,raw
Topotecan Cloridrato,L01CE,57308,salt
Torasemide,C03CA,38413,raw
Toremifene,L02BA,38409,raw
Toripalimab,L01FF,2669406,raw
Tossina Botulinica,M03AX,,unresolved
Tozinameran,J07BN,2468230,raw
Trabectedin,L01CX,1716278,raw
Trabectedina,L01CX,1716278,raw
Tossina Botulinica Di Clostridium Botulinum Tipo A,M03AX,,unresolved
Tralokinumab,D11AH,2589225,raw
Tossina Botulinica Di Tipo A,M03AX,,unresolved
Tramadolo Cloridrato,N02AX,10689,salt
Tramazolina Cloridrato,R01AA,38453,salt
Trametinib,L01EE,1425099,raw
Trandolapril,C09AA,38454,raw
Trastuzumab Deruxtecan,L01FD,2267582,raw
Trastuzumab,L01FD,224905,raw
Travoprost,S01EE,283809,raw
Trastuzumab Emtansine,L01FD,1371041,raw
Trazodone,N06AX,10737,raw
Trazodone Cloridrato,N06AX,10737,salt
Tremelimumab,L01FX,2619313,raw
Treosulfan,L01AB,38508,raw
Treprostinil Sodio,B01AC,343048,salt
Tretinoina,D10AD,10753,raw
Triamcinolone Acetonide,H02AB,10761,raw
Triazolam,N05CD,10767,raw
Trientina,A16AX,10798,raw
Trientina Diidrocloruro,A16AX,10798,raw
Triesifenidile Cloridrato,N04AA,,unresolved
Trifarotene,D10AD,2205637,raw
Triiodotironina T3,V03AX,,unresolved
Trifluoperazina,N05AB,10800,raw
Trillium Pendulum,V03AX,,unresolved
Trimebutina,A03AA,10819,raw
Trimebutina Maleato,A03AA,10819,salt
Trimetazidina Dicloridrato,C01EB,10826,raw
Trimipramina,N06AA,10834,raw
Triptorelina Acetato,L02AE,38782,salt
Triptorelina,L02AE,38782,raw
Triptorelina Embonato,L02AE,38782,raw
Triticum Vulgare Pianta Intera (Triticum Vulgare) Estratto Acquoso,G02CX,,unresolved
Trometamolo,B05BB,10865,raw
Triossido Di Arsenico,L01XX,,unresolved
Tropicamide,S01FA,10869,raw
Trospio Cloruro,G04BD,236778,raw
Trospium Cloruro,G04BD,236778,raw
Troxerutina,C05CA,38893,raw
Tubercolinum,V03AX,,unresolved
Ublituximab,L04AG,2626349,raw
Tucatinib,L01EH,2361285,raw
Ubidecarenone,C01EB,21406,raw
Ulipristal,G03AD,1005921,raw
Ulipristal Acetato,G03AD,1005921,salt
Umeclidinio,R03BB,1487514,raw
Upadacitinib,L04AF,2196092,raw
Urapidil,C02CA,39230,raw
Umeclidino Bromuro,R03BB,1487514,salt
Urea 13C,V04CX,226724,raw
Urea C Tredici,V04CX,226724,raw
Urochinasi,B01AD,11055,raw
Urapidil Cloridrato,C02CA,39230,salt
Urofollitropina,G03GA,134404,raw
Urtica Dioica,V03AX,,unresolved
Urtica Urens,V03AX,,unresolved
Ustilago Maidis,V03AX,,unresolved
"Vaccino (Adsorbito) Difterico, Tetanico, Pertossico (Componente Acellulare)",J07AJ,,unresolved
"Vaccino (Adsorbito) Difterico, Tetanico, Pertossico (Componente Acellulare) E Poliomielitico (Inattivato)",J07CA,,unresolved
Ustekinumab,L04AC,847083,raw
Vaccino A Mrna Anti-Covid-19,J07BN,2470232,raw
Vaccino Anti-Difterico. Pertosse. Tetanico E Anti-Epatite B,J07CA,,unresolved
"Vaccino  Anticolerico (Vivo, Ricombinante, Orale)",J07AE,,unresolved
"Vaccino Anticovid-19 (Ricombinante, Adiuvato)",J07BN,,unresolved
Vaccino Antiinfluenzale**,J07BB,,unresolved
Vaccino Antiepatite A,J07BC,,unresolved
"Vaccino Antinfluenzale (Vivo Attenuato, Nasale)",J07BB,,unresolved
"Vaccino Antinfluenzale (Antigene Di Superficie, Inattivato, Adiuvato)",J07BB,,unresolved
"Vaccino Antinfluenzale Trivalente (Virione Split, Inattivato)",J07BB,,unresolved
"Vaccino Antinfluenzale Quadrivalente (Ricombinante, Preparato In Coltura Cellulare)",J07BB,,unresolved
"Vaccino Antinfluenzale Trivalente (Ricombinante, Preparato In Coltura Cellulare)",J07BB,,unresolved
Vaccino Antivaiolo E Antivaiolo Delle Scimmie (Virus Vaccinico Vivo Ankara Modificato),J07BX,,unresolved
Vaccino Colerico,J07AE,,unresolved
"Vaccino Coniugato Meningococcico Gruppo A,C,W,Y",J07AH,,unresolved
"Vaccino Contro Il Virus Ebola Zaire (Rvsv&#916,G Zebov Gp1,2 Vivo Attenuato)",J07BX,,unresolved
Vaccino Contro La Chikungunya (Vivo),J07BX,,unresolved
"Vaccino Contro La Pertosse (Ricombinante, Componente Acellulare, Adsorbito)",J07AJ,,unresolved
Vaccino Del Tifo Vivo Attenuato,J07AP,,unresolved
Vaccino Dell''Encefalite Giapponese (Inattivato Adsorbito),J07BA,,unresolved
Vaccino Encefalite Da Zecca Purificato E Inattivato (Ceppo Neudoerlf),J07BA,,unresolved
Vaccino Epatite B Da Dna Ricombinante,J07BC,,unresolved
Vaccino Epatitico A,J07BC,,unresolved
Vaccino Febbre Gialla Vivo,J07BL,,unresolved
Vaccino Epatitico B,J07BC,,unresolved
Vaccino Haemophilus Influenzae B Coniugato Con Tossoidetetanico,J07AG,,unresolved
"Vaccino Influenzale Pandemico (H5N1) (Vivo Attenuato, Nasale)",J07BB,,unresolved
Vaccino Influenzale  Split Inattivati,J07BB,,unresolved
Vaccino Meningite Cerebrospinale A C,J07AH,,unresolved
"Vaccino Influenzale Pandemico (H5N1) (Antigene Di Superficie, Inattivato, Adiuvato, Preparato In Colture Cellulari)",J07BB,,unresolved
"Vaccino Influenzale Zoonotico (H5N1) (Antigene Di Superficie, Inattivato, Adiuvato, Preparato In Colture Cellulari)",J07BB,,unresolved
Vaccino Meningococcico Gruppo B,J07AH,,unresolved
"Vaccino Influenzale Zoonotico (H5N1) (Antigene Di Superficie, Inattivato, Adiuvato)",J07BB,,unresolved
Vaccino Meningococcico Gruppo C Coniugato Con Tossoide Difterico,J07AH,,unresolved
"Vaccino Papillomavirus Umano (Tipi Umani 6, 11, 16, 18, 31, 33, 45, 52,58)",J07BM,,unresolved
"Vaccino Papillomavirus Umano (Tipi Umani 6,11,16,18)",J07BM,,unresolved
"Vaccino Per Il Virus Respiratorio Sinciziale (Bivalente, Ricombinante)",J07BX,,unresolved
"Vaccino Per Il Virus Respiratorio Sinciziale (Rsv) (Ricombinante, Adiuvato)",J07BX,,unresolved
"Vaccino Per L?Herpes Zoster (Ricombinante, Adiuvato",J07BK,,unresolved
Vaccino Pneumocatarrale,J07AX,,unresolved
Vaccino Pneumococcico,J07AL,,unresolved
Vaccino Pneumococcico Polisaccaridico Coniugato (13 Valente Adsorbito),J07AL,,unresolved
"Vaccino Pneumococcico Polisaccaridico Coniugato (15-Valente, Adsorbito)",J07AL,,unresolved
Vaccino Pneumococcico Polisaccaridico Coniugato (21-Valente),J07AL,,unresolved
"Vaccino Pneumococcico Polisaccaridico Coniugato (20-Valente, Adsorbito)",J07AL,,unresolved
Vaccino Poliomielitico Inattivato,J07BF,,unresolved
Vaccino Rabbico Uso Umano Da Colture Cellulari,J07BG,,unresolved
Vaccino Tetanico Adsorbito,J07AM,,unresolved
Vaccino Pneumococcico Polisaccaridico Coniugato (Adsorbito),J07AL,,unresolved
Vaccino Tifoideo,J07AP,,unresolved
"Vaccino Tetravalente Per La Dengue (Vivo, Attenuato)",J07BX,,unresolved
Vaccino Varicella Vivo,J07BK,,unresolved
Vaccino Vivo Attenuato Anti Rotavirus,J07BH,,unresolved
Vadadustat,B03XA,2679296,raw
Valaciclovir Cloridrato,J05AB,73645,salt
Valaciclovir,J05AB,73645,raw
Valaciclovir Cloridrato Monoidrato,J05AB,73645,salt
Valeriana,N05CM,253206,raw
Valeriana Officinalis,V03AX,,unresolved
Valeriana (Estratto Secco),N05CM,253206,raw
Valpromide,N03AG,23420,raw
Valganciclovir,J05AB,275891,raw
Valganciclovir Cloridrato,J05AB,275891,salt
Valsartan,C09CA,69749,raw
Vamorolone,H02AB,2669799,raw
Vancomicina,J01XA,11124,raw
Vancomicina Cloridrato,J01XA,11124,salt
Vandetanib,L01EX,1098413,raw
Vardenafil,G04BE,306674,raw
Vardenafil Cloridrato Triidrato,G04BE,306674,salt
Vardenafil Idrocloridrato,G04BE,306674,raw
Vareniclina Tartrato,N07BA,591622,salt
Vedolizumab,L04AG,1538097,raw
Velmanase Alfa,A16AB,2630725,raw
Velaglucerase Alfa,A16AB,901805,raw
Vemurafenib,L01EC,1147220,raw
Venetoclax,L01XX,1747556,raw
Verapamil Cloridrato,C08DA,11170,salt
Veratrum Album,V03AX,,unresolved
Venlafaxina Cloridrato,N06AX,39786,salt
Venlafaxina,N06AX,39786,raw
Vernakalant,C01BG,,unresolved
Veratrum Viride,V03AX,,unresolved
Verbascum,V03AX,,unresolved
Verbena Officinalis,V03AX,,unresolved
Verde Indocianina,V04CX,,unresolved
Vericiguat,C01DX,2475830,raw
Vestronidasi Alfa,A16AB,1989819,raw
Verteporfina,S01LA,118886,raw
Vibegron,G04BD,2472254,raw
Viburnum Opulus,V03AX,,unresolved
Vildagliptin,A10BH,596554,raw
Vigabatrin,N03AG,14851,raw
Vimseltinib,L01EX,2705378,raw
Vilobelimab,L04AJ,2639620,raw
Vinblastina Solfato,L01CA,11198,salt
Vincetoxicum,V03AX,,unresolved
Vincristina Solfato,L01CA,11202,salt
Vindesina Solfato,L01CA,11204,salt
Vinflunine,L01CA,,unresolved
Vinorelbina,L01CA,39541,raw
Vinorelbina Tartrato,L01CA,39541,salt
Viola Odorata,V03AX,,unresolved
Viola Tricolor,V03AX,,unresolved
Virus Della Varicella Vivo Attenuato(Ceppo Oka),J07BK,1292422,raw
Viscum Album,V03AX,,unresolved
Vismodegib,L01XJ,1242987,raw
Voclosporina,L04AD,2475166,raw
Vonicog Alfa,B02BD,,unresolved
Vorasidenib,L01XM,2690647,raw
Volanesorsen Sodico,C10AX,2637345,salt
Voretigene Neparvovec,S01XA,1995537,raw
Voriconazolo,J02AC,121243,raw
Vortioxetina,N06AX,1455099,raw
"Vortioxetina (D,L)-Lattato",N06AX,7500,raw
Vortioxetina Bromidrato,N06AX,1455099,raw
Vosoritide,M05BX,2586354,raw
Voxelotor,B06AX,2265678,raw
Vutrisiran,N07XX,2604578,raw
Warfarin Sodico,B01AA,11289,salt
Xibornolo,R02AB,,unresolved
Xilene,S02DC,,unresolved
Zafferano,V03AX,,unresolved
Xilometazolina,R01AA,39841,raw
Xilometazolina Cloridrato,R01AA,39841,salt
Zapomeran,J07BX,,unresolved
Zanamivir,J05AH,69722,raw
Zanidatamab,L01FD,2698198,raw
Zanubrutinib,L01EL,2262435,raw
Ziconotide,N02BG,68503,raw
Zidovudina,J05AF,11413,raw
Zilucoplan,L04AJ,2672489,raw
Zinco,A16AX,,unresolved
Zincum Metallicum,V03AX,,unresolved
Zincum Phosphoricum,V03AX,,unresolved
Zincum Sulfuricum,V03AX,,unresolved
Zincum Valerianicum,V03AX,,unresolved
Ziprasidone,N05AE,115698,raw
Zofenopril Calcio,C09AA,39990,salt
Zinco Solfato,A12CB,,unresolved
Zolfo Esafluoruro,V08DA,,unresolved
Zoledronic Acid,M05BA,77655,raw
Zolbetuximab,L01FX,2695869,raw
Zolmitriptan,N02CC,135775,raw
Zolpidem Tartrato,N05CF,39993,salt
Zolpidem,N05CF,39993,raw
Zona Cutanea Pilo Sebacea,V03AX,,unresolved
