preferred_label,entity_type,source,aliases,AIC,ATC,RXCUI,DDINTER
ACECLOFENAC,DRUG,AIFA anagrafica farmaci,ACECLOFENAC,031220015|031220027|031220054|031220066|031842014|031842026|031842053|031842065|032773020|032773032|032773057|032773069|042403016|042403028|042403030|042403042|042403055|042403067|043259011|043259023|043259035|043259047|043259050|043259062|043259074,M01AB16|M02AA25,,
ACECLOFENAC ACCORD,DRUG,AIFA anagrafica farmaci,ACECLOFENAC ACCORD,042403016|042403028|042403030|042403042|042403055|042403067,M01AB16,,
ACECLOFENAC EG,DRUG,AIFA anagrafica farmaci,ACECLOFENAC EG,043259011|043259023|043259035|043259047|043259050|043259062|043259074,M01AB16,,
ACEDIUR,DRUG,AIFA anagrafica farmaci,ACEDIUR,025767017|025767029,C09BA01,,
ACENOCUMAROLO,DRUG,AIFA anagrafica farmaci,ACENOCUMAROLO,011782012|011782024|011782036,B01AA07,,
ACER CAMPESTRIS,DRUG,AIFA anagrafica farmaci,ACER CAMPESTRIS,046267011|047095017|047101011,V03AX,,
ACER CAMPESTRIS/ALNUS GLUTINOSA/CERCIS SYLIQUASTRUM/CITRUS LIMONUM/CORNUS SANGUINEA/OLEA EUROPAEA/POPULUS NIGRA/PRUNUS AMYGDALUS/SYRINGA VULGARIS/ZEA MAIS/TILIA TOMENTOSA/CRATAEGUS,DRUG,AIFA anagrafica farmaci,ACER CAMPESTRIS/ALNUS GLUTINOSA/CERCIS SYLIQUASTRUM/CITRUS LIMONUM/CORNUS SANGUINEA/OLEA EUROPAEA/POPULUS NIGRA/PRUNUS AMYGDALUS/SYRINGA VULGARIS/ZEA MAIS/TILIA TOMENTOSA/CRATAEGUS,046267011,V03AX,,
ACESISTEM,DRUG,AIFA anagrafica farmaci,ACESISTEM,027395021|027395033,C09BA02,,
ACETAMOL,DRUG,AIFA anagrafica farmaci,ACETAMOL,023475054|023475066|023475078|023475080|023475092|023475104|023475116|023475128|023475130|023475142,N02BE01,,
ACETAZOLAMIDE,DRUG,AIFA anagrafica farmaci,ACETAZOLAMIDE,009277017,S01EC01,,
ACETILCISTEINA,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA,020582019|020582021|020582033|020582173|020582209|020582223|020582235|020582262|020582274|020582298|020582300|021993050|024593016|028165025|032268017|032819031|032819043|032819068|032819070|034256026|034820023|034821025|034821037|034821049|034821052|034936017|034936031|034936043|034936094|034936106|034936118|034936120|034936132|034936144|034936157|034936169|034936171|035404021|036071049|036071052|036071064|036071076|036071088|038175016|038175028|038175030|038175042|038175055|038176018|038176020|038176032|038176044|038176057|038176069|039455011|039455023|039455035|039955036|039955051|039955063|039955075|040932079|041208012|041209014|041210016|041211018|042325011|042325023|042507018|042507020|043199013|043199025|043199037|043199049|043199052|043199064|043351016|043351028|043351030|043351042|043351055|043351067|043351079|043351081|043351093|043351105|043351117|043351129|043351131|043351143|043351156|043351168|043351170|043351182|043351194|043351206|043993029|043993031|044120020|044120032|044120044|044120057|044120069|044120071|044120083|045463027|045463039|045463041|046346019|047454018|047454020|047454044|047454057|047933015|047933027|047933039|047933054|048952016|048952028|048952030|048952042|048952055|049007026|049326010|049546017|049546029|049906011|051258010|051258022|051258034|051258046|051258059|051258061|051258073|051258085|051258097|051258109|051258111|051335014|051335026|051782011|053076016,R01AB08|R05CB01|S01XA08|V03AB23,,
ACETILCISTEINA ALTER,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA ALTER,049326010,R05CB01,,
ACETILCISTEINA AUROBINDO ITALIA,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA AUROBINDO ITALIA,051335014|051335026,R05CB01,,
ACETILCISTEINA COOP,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA COOP,041210016,R05CB01,,
ACETILCISTEINA DOC,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA DOC,042325011|042325023,R05CB01,,
ACETILCISTEINA DOC GENERICI,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA DOC GENERICI,042507018|042507020,R05CB01,,
ACETILCISTEINA EG,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA EG,034821025|034821037|034821049|034821052,R05CB01,,
ACETILCISTEINA PENSA,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA PENSA,038175016|038175028|038175030|038175042|038175055,R05CB01,,
ACETILCISTEINA RATIOPHARM,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA RATIOPHARM,034256026,R05CB01,,
ACETILCISTEINA ZENTIVA LAB,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA ZENTIVA LAB,047378017,R05CB01,,
ACETILCISTEINA/ACETILCISTEINA,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA/ACETILCISTEINA,036071076|036071088|039955075,R05CB01,,
ACETILCISTEINA/N.D.,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA/N.D.,046346019,R05CB01,,
ACETILCISTEINA/TUAMINOEPTANO SOLFATO,DRUG,AIFA anagrafica farmaci,ACETILCISTEINA/TUAMINOEPTANO SOLFATO,021993050,R01AB08,,
ACETILCOLINA CLORURO,DRUG,AIFA anagrafica farmaci,ACETILCOLINA CLORURO,028930016,S01EB09,,
ACETILENE,DRUG,AIFA anagrafica farmaci,ACETILENE,050900012|050900024|050900036|050900048,V04CX,,
ACETOSSIETILCEFUROXIMA,DRUG,AIFA anagrafica farmaci,ACETOSSIETILCEFUROXIMA,027002106|037732017|037732029|037732031|037732043|037732056|037732068|037732070|037732082|037732094|037732106|037732118|037732120|037732132|037732144|037732157|037732169|037732171|037732183|037732195|037732207|037732219|037732221|037732233|037732245|037732258|037732260|037732272|037732284|037732296|037732308|037732310|037732322,J01DC02,,
ACETYLCYSTEINE,DRUG,AIFA anagrafica farmaci,ACETYLCYSTEINE,047378017,R05CB01,,
"ACHILLEA MILLEFOGLIE PARTI AEREE, POLVERIZZATA",DRUG,AIFA anagrafica farmaci,"ACHILLEA MILLEFOGLIE PARTI AEREE, POLVERIZZATA",051420014|051420026,R02A,,
ACHILLEA MILLEFOLIUM,DRUG,AIFA anagrafica farmaci,ACHILLEA MILLEFOLIUM,047285010|047608017|047807019|047807021|047807033|047807045|047807058|047807060|047807072|047807084|047807096|047807108|047807110|047807122|047807134|047807146|047807159|047807161|047807173|047807185|047807197|047807209|047807211|047807223|047807235|047807247|047807250|047807262|047807274|047807286|047807298|047807300|047807312|047807324|047807336|047807348|047807351|047807363|047807375|047807387|047807399|047807401|047807413|047807425|047807437|047807449|047807452|047807464|047807476|047807488|047807490|047807502|047807514|047807526|047807538|047807540,V03AX,,
ACHILLEA MILLEFOLIUM DYNAMIS,DRUG,AIFA anagrafica farmaci,ACHILLEA MILLEFOLIUM DYNAMIS,047807019|047807021|047807033|047807045|047807058|047807060|047807072|047807084|047807096|047807108|047807110|047807122|047807134|047807146|047807159|047807161|047807173|047807185|047807197|047807209|047807211|047807223|047807235|047807247|047807250|047807262|047807274|047807286|047807298|047807300|047807312|047807324|047807336|047807348|047807351|047807363|047807375|047807387|047807399|047807401|047807413|047807425|047807437|047807449|047807452|047807464|047807476|047807488|047807490|047807502|047807514|047807526|047807538|047807540,V03AX,,
ACICLIN,DRUG,AIFA anagrafica farmaci,ACICLIN,028614055|028614081|028614129|028614156,D06BB03|J05AB01,,
ACICLINLABIALE,DRUG,AIFA anagrafica farmaci,ACICLINLABIALE,039105010|039105022,D06BB03,,
